Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
12 3 -7.0624843 0.0 -56.556 13.7901 -156.678 387.643 -2573.84 389.238 -2674.45 0.0 389.238 -2674.45 -9.22431 -56.556 -2350.9922 8.26952 8.26952
12 4 -7.0624843 0.0 -56.556 13.7901 -156.678 387.643 -2573.84 389.238 -2674.45 0.0 389.238 -2674.45 -9.22431 -56.556 -2350.9922 8.26952 8.26952
12 5 -7.0624843 0.0 -56.556 13.7901 -156.678 387.643 -2573.84 389.238 -2674.45 0.0 389.238 -2674.45 -9.22431 -56.556 -2350.9922 8.26952 8.26952
12 6 -7.0624843 0.0 -56.556 13.7901 -156.678 387.643 -2573.84 389.238 -2674.45 0.0 389.238 -2674.45 -9.22431 -56.556 -2350.9922 8.26952 8.26952
12 7 -7.0624843 0.0 -56.556 13.7901 -156.678 387.643 -2573.84 389.238 -2674.45 0.0 389.238 -2674.45 -9.22431 -56.556 -2350.9922 8.26952 8.26952
13 0 -6.854988 0.0 -52.5556 13.615 -161.336 387.643 -2573.84 390.175 -2683.62 0.0 390.175 -2683.62 -8.34597 -52.5556 -2354.3467 4.6163 4.6163
13 1 -6.854988 0.0 -52.5556 13.615 -161.336 387.643 -2573.84 390.175 -2683.62 0.0 390.175 -2683.62 -8.34597 -52.5556 -2354.3467 4.6163 4.6163
13 2 -6.854988 0.0 -52.5556 13.615 -161.336 387.643 -2573.84 390.175 -2683.62 0.0 390.175 -2683.62 -8.34597 -52.5556 -2354.3467 4.6163 4.6163
13 3 -6.854988 0.0 -52.5556 13.615 -161.336 387.643 -2573.84 390.175 -2683.62 0.0 390.175 -2683.62 -8.34597 -52.5556 -2354.3467 4.6163 4.6163
13 4 -6.631892 0.0 -49.339 13.6477 -161.558 387.643 -2573.84 390.629 -2685.82 0.0 390.629 -2685.82 -9.42025 -49.339 -2353.9504 6.8014 6.8014
13 5 -6.781776 0.0 -51.4072 13.6231 -161.908 387.643 -2573.84 390.26 -2684.89 0.0 390.26 -2684.89 -7.91056 -51.4072 -2353.9478 5.17848 5.17848
13 6 -6.781776 0.0 -51.4072 13.6231 -161.908 387.643 -2573.84 390.26 -2684.89 0.0 390.26 -2684.89 -7.91056 -51.4072 -2353.9478 5.17848 5.17848
13 7 -6.781776 0.0 -51.4072 13.6231 -161.908 387.643 -2573.84 390.26 -2684.89 0.0 390.26 -2684.89 -7.91056 -51.4072 -2353.9478 5.17848 5.17848
14 0 -7.0612435 0.0 -59.067 13.8548 -156.291 387.643 -2573.84 390.24 -2671.61 0.0 390.24 -2671.61 -13.2927 -59.067 -2353.7297 5.18741 5.18741
14 1 -7.0612435 0.0 -59.067 13.8548 -156.291 387.643 -2573.84 390.24 -2671.61 0.0 390.24 -2671.61 -13.2927 -59.067 -2353.7297 5.18741 5.18741
14 2 -7.0612435 0.0 -59.067 13.8548 -156.291 387.643 -2573.84 390.24 -2671.61 0.0 390.24 -2671.61 -13.2927 -59.067 -2353.7297 5.18741 5.18741
14 3 -7.0612435 0.0 -59.067 13.8548 -156.291 387.643 -2573.84 390.24 -2671.61 0.0 390.24 -2671.61 -13.2927 -59.067 -2353.7297 5.18741 5.18741
14 4 -6.992294 0.0 -58.5879 13.8629 -156.144 387.643 -2573.84 390.263 -2671.1 0.0 390.263 -2671.1 -13.5671 -58.5879 -2352.9922 5.30057 5.30057
14 5 -6.992294 0.0 -58.5879 13.8629 -156.144 387.643 -2573.84 390.263 -2671.1 0.0 390.263 -2671.1 -13.5671 -58.5879 -2352.9922 5.30057 5.30057
14 6 -6.989658 0.0 -58.9652 13.8518 -156.301 387.643 -2573.84 390.329 -2670.75 0.0 390.329 -2670.75 -13.5919 -58.9652 -2352.978 5.48416 5.48416
